epoch MAE/at tot_st val_MAE/at
0 0.046856094151735306 100 0.02527669072151184
1 0.024069316685199738 200 0.04885174706578255
2 0.011124069802463055 300 0.02907121554017067
3 0.017231134697794914 400 0.02590796910226345
4 0.0205637626349926 500 0.01314467377960682
5 0.017235759645700455 600 0.014685211703181267
6 0.009527481161057949 700 0.03926587849855423
7 0.029446441680192947 800 0.009606130421161652
8 0.019219115376472473 900 0.018019501119852066
9 0.006430536508560181 1000 0.01079910434782505
