#filename n_atoms e_ref e_nn
N.A. 4 -1537.8974609375 -1537.9473876953125
N.A. 3 -2078.24462890625 -2078.24169921875
N.A. 4 -1538.19775390625 -1538.217529296875
N.A. 5 -1101.8946533203125 -1101.837158203125
N.A. 5 -1101.7099609375 -1101.6436767578125
N.A. 3 -2078.0927734375 -2078.07568359375
N.A. 5 -1101.6900634765625 -1101.6485595703125
N.A. 4 -1537.961669921875 -1537.94189453125
N.A. 5 -1101.0067138671875 -1100.951904296875
N.A. 4 -1537.8548583984375 -1537.8211669921875
N.A. 3 -2078.0693359375 -2078.011962890625
N.A. 3 -2078.01318359375 -2077.997802734375
N.A. 4 -1538.0516357421875 -1538.0650634765625
N.A. 4 -1537.206298828125 -1537.281005859375
N.A. 4 -1537.4061279296875 -1537.393310546875
N.A. 3 -2078.14306640625 -2078.10498046875
N.A. 3 -2077.911376953125 -2077.881591796875
N.A. 5 -1101.1583251953125 -1101.121337890625
N.A. 3 -2078.240478515625 -2078.205322265625
N.A. 5 -1101.1827392578125 -1101.1861572265625
N.A. 5 -1101.404296875 -1101.349365234375
N.A. 4 -1537.5460205078125 -1537.5313720703125
N.A. 4 -1537.513916015625 -1537.5408935546875
N.A. 4 -1537.9425048828125 -1538.0015869140625
N.A. 4 -1537.2811279296875 -1537.5074462890625
N.A. 5 -1101.9676513671875 -1101.943603515625
N.A. 5 -1101.0867919921875 -1101.1083984375
N.A. 5 -1101.145751953125 -1101.126953125
N.A. 4 -1537.29443359375 -1537.3282470703125
N.A. 5 -1101.2103271484375 -1101.136474609375
N.A. 5 -1100.8377685546875 -1100.853759765625
N.A. 5 -1101.7010498046875 -1101.6485595703125
N.A. 3 -2078.357666015625 -2078.338623046875
N.A. 3 -2078.219970703125 -2078.18994140625
N.A. 3 -2078.212646484375 -2078.198974609375
N.A. 3 -2078.3916015625 -2078.34912109375
N.A. 5 -1101.3677978515625 -1101.3291015625
N.A. 3 -2078.466552734375 -2078.451171875
N.A. 5 -1101.934814453125 -1101.902587890625
N.A. 4 -1537.5982666015625 -1537.591064453125
N.A. 3 -2078.086669921875 -2078.055419921875
N.A. 3 -2078.322998046875 -2078.296875
N.A. 4 -1538.143310546875 -1538.1617431640625
N.A. 5 -1100.9180908203125 -1100.945068359375
N.A. 5 -1101.267333984375 -1101.26806640625
N.A. 4 -1537.6695556640625 -1537.6827392578125
N.A. 4 -1537.5133056640625 -1537.5589599609375
N.A. 3 -2078.509765625 -2078.493896484375
N.A. 4 -1537.640380859375 -1537.629638671875
N.A. 5 -1101.2418212890625 -1101.2012939453125
N.A. 4 -1537.9422607421875 -1537.9356689453125
N.A. 5 -1100.7369384765625 -1100.837158203125
N.A. 3 -2078.572509765625 -2078.56005859375
N.A. 4 -1537.7825927734375 -1537.7396240234375
N.A. 3 -2077.98974609375 -2077.970458984375
N.A. 3 -2077.935302734375 -2077.91943359375
N.A. 5 -1101.5931396484375 -1101.5421142578125
N.A. 4 -1537.7119140625 -1537.705322265625
N.A. 3 -2078.420166015625 -2078.39453125
N.A. 4 -1537.987548828125 -1538.02685546875
N.A. 4 -1537.9122314453125 -1537.917724609375
N.A. 4 -1537.689697265625 -1537.7115478515625
N.A. 3 -2078.19091796875 -2078.178466796875
N.A. 3 -2078.2431640625 -2078.193115234375
N.A. 5 -1101.8623046875 -1101.8404541015625
N.A. 3 -2078.3427734375 -2078.321044921875
N.A. 3 -2078.065185546875 -2078.03515625
N.A. 5 -1101.0638427734375 -1101.026123046875
N.A. 4 -1537.374267578125 -1537.4737548828125
N.A. 3 -2078.15966796875 -2078.13037109375
N.A. 4 -1537.517578125 -1537.552978515625
N.A. 5 -1101.984130859375 -1101.95458984375
N.A. 5 -1101.4306640625 -1101.45166015625
N.A. 3 -2078.215576171875 -2078.177734375
N.A. 5 -1101.0755615234375 -1101.005615234375
N.A. 4 -1537.606689453125 -1537.6256103515625
N.A. 3 -2078.129150390625 -2078.099609375
N.A. 3 -2078.191650390625 -2078.169189453125
N.A. 3 -2078.262451171875 -2078.241455078125
N.A. 3 -2078.025390625 -2078.012451171875
N.A. 3 -2077.878662109375 -2077.8369140625
N.A. 3 -2077.8388671875 -2077.850830078125
N.A. 5 -1101.4307861328125 -1101.4007568359375
N.A. 5 -1101.1741943359375 -1101.0906982421875
N.A. 3 -2078.598876953125 -2078.588623046875
N.A. 5 -1101.187744140625 -1101.0943603515625
N.A. 3 -2078.30224609375 -2078.266845703125
N.A. 4 -1538.063232421875 -1538.0692138671875
N.A. 5 -1101.8692626953125 -1101.8233642578125
N.A. 3 -2078.099853515625 -2078.087646484375
N.A. 5 -1101.0904541015625 -1101.0716552734375
N.A. 5 -1101.08935546875 -1101.06396484375
N.A. 3 -2078.58544921875 -2078.57861328125
N.A. 4 -1537.8343505859375 -1537.871826171875
N.A. 4 -1538.123779296875 -1538.1507568359375
N.A. 5 -1101.036865234375 -1101.02197265625
N.A. 4 -1537.0789794921875 -1536.999267578125
N.A. 3 -2077.945556640625 -2077.949951171875
N.A. 3 -2078.1875 -2078.158447265625
N.A. 5 -1101.0693359375 -1100.9735107421875
N.A. 3 -2078.0732421875 -2078.04638671875
N.A. 5 -1100.837158203125 -1100.8421630859375
N.A. 3 -2078.323486328125 -2078.29345703125
N.A. 3 -2078.379150390625 -2078.365234375
N.A. 3 -2078.21142578125 -2078.182373046875
N.A. 3 -2078.3095703125 -2078.291748046875
N.A. 3 -2078.18408203125 -2078.168701171875
N.A. 3 -2078.55126953125 -2078.53369140625
N.A. 4 -1537.623779296875 -1537.7034912109375
N.A. 4 -1537.7730712890625 -1537.78759765625
N.A. 3 -2078.566162109375 -2078.5439453125
N.A. 4 -1537.6942138671875 -1537.766845703125
N.A. 5 -1100.797607421875 -1100.7459716796875
N.A. 3 -2078.415771484375 -2078.3681640625
N.A. 5 -1101.78125 -1101.72119140625
N.A. 3 -2077.5126953125 -2077.639404296875
N.A. 5 -1101.1529541015625 -1101.0810546875
N.A. 3 -2078.168212890625 -2078.132080078125
N.A. 3 -2078.568359375 -2078.565673828125
N.A. 5 -1101.0570068359375 -1101.0355224609375
N.A. 3 -2078.3359375 -2078.3173828125
N.A. 3 -2078.5849609375 -2078.574951171875
N.A. 4 -1537.5521240234375 -1537.6197509765625
N.A. 5 -1101.4747314453125 -1101.375
N.A. 5 -1101.3648681640625 -1101.2327880859375
N.A. 5 -1101.492431640625 -1101.50048828125
N.A. 5 -1101.5484619140625 -1101.501953125
N.A. 5 -1101.860107421875 -1101.849853515625
N.A. 3 -2078.599365234375 -2078.593017578125
N.A. 3 -2078.37451171875 -2078.35888671875
N.A. 5 -1101.0518798828125 -1101.0677490234375
N.A. 3 -2078.5341796875 -2078.536865234375
N.A. 5 -1101.2354736328125 -1101.155517578125
N.A. 4 -1537.3856201171875 -1537.3531494140625
N.A. 5 -1101.06005859375 -1101.045166015625
N.A. 4 -1537.5706787109375 -1537.5589599609375
N.A. 4 -1538.0858154296875 -1538.1068115234375
N.A. 4 -1538.1051025390625 -1538.08935546875
N.A. 3 -2078.4453125 -2078.437255859375
N.A. 3 -2078.025390625 -2077.9921875
N.A. 4 -1537.52392578125 -1537.5286865234375
N.A. 5 -1101.328369140625 -1101.2808837890625
N.A. 5 -1101.5626220703125 -1101.4833984375
N.A. 3 -2078.32470703125 -2078.3017578125
N.A. 3 -2078.17529296875 -2078.157470703125
N.A. 5 -1100.8365478515625 -1100.8577880859375
N.A. 4 -1537.72998046875 -1537.760009765625
N.A. 4 -1537.9560546875 -1537.971435546875
N.A. 3 -2077.679931640625 -2077.748779296875
N.A. 4 -1538.2333984375 -1538.239501953125
N.A. 3 -2078.364990234375 -2078.320556640625
N.A. 3 -2078.46337890625 -2078.43505859375
N.A. 3 -2078.4130859375 -2078.37548828125
N.A. 4 -1537.586181640625 -1537.567138671875
N.A. 4 -1537.16845703125 -1537.2369384765625
N.A. 4 -1538.1180419921875 -1538.1142578125
N.A. 3 -2077.5224609375 -2077.636962890625
N.A. 4 -1537.540283203125 -1537.5601806640625
N.A. 4 -1537.709716796875 -1537.7166748046875
N.A. 5 -1101.139892578125 -1101.0869140625
N.A. 3 -2077.893798828125 -2077.86962890625
N.A. 3 -2078.441650390625 -2078.40966796875
N.A. 5 -1101.4473876953125 -1101.4052734375
N.A. 3 -2078.3564453125 -2078.333740234375
N.A. 5 -1100.9456787109375 -1100.9150390625
N.A. 4 -1538.1649169921875 -1538.15185546875
N.A. 3 -2078.05029296875 -2078.013427734375
N.A. 4 -1537.38916015625 -1537.4210205078125
N.A. 3 -2078.09716796875 -2078.05224609375
N.A. 5 -1101.6376953125 -1101.5948486328125
N.A. 4 -1538.135986328125 -1538.1441650390625
N.A. 4 -1537.6817626953125 -1537.6842041015625
N.A. 5 -1101.9534912109375 -1101.9371337890625
N.A. 5 -1100.958984375 -1100.940673828125
N.A. 4 -1537.3638916015625 -1537.4454345703125
N.A. 3 -2078.46533203125 -2078.454833984375
N.A. 3 -2078.41845703125 -2078.404296875
N.A. 4 -1537.1568603515625 -1537.3109130859375
N.A. 3 -2077.91064453125 -2077.9228515625
N.A. 3 -2078.308837890625 -2078.27392578125
